restaurant_name,location,status,rating,full address,cusine,fssai
Edesia,Arekere,Closed,4.2,"Edesia, Freshmenu #23/24, Ground floor,  2nd Cross, Arkere main road, Bannerghatta road, Bangalore 560076.","Desserts,Bakery,Sweets",License No. 11217334000966
Samosa Singh,Arekere,Closed,4.0,"Samosa Singh, Shop #6/3, Someshwara Layout, Near SLV Hotel, Hulimavu, Bangalore -560 076","Fast Food,Snacks,North Indian,Desserts,Beverages",License No. 21219010003366
555 Darjeeling Unique Asian Cuisine,Arekere,-- MINS,4.4,"555 Darjeeling Unique Asian Cuisine, LVO 025 - BENGALURU, Karnataka",Asian,License No. 21219192001926
Domino's Pizza,Arekere,-- MINS,4.4,"Domino's Pizza, 471, Datta Complex,Puttenahalli Main Road, R.B.I Layout,J.P. Nagar 7Th Phase,Near Brigade Millenium Apartment,Bangalore- 560078",Pizzas,License No. 11219334001897
Kanti Sweets,Arekere,Closed,4.3,"Kanti Sweets, OVEN FRESH A UNIT OF KANTI SWEETS, NO. 1058, SOBHA ARCADE, VIJAYA BANK COLONY, BILEKAHALLI, BENGALURU, District - B.B.M.P South, STATE - Karnataka",Sweets,License No. 11217334001054
Yumme,Arekere,-- MINS,--,"Yumme, Yumme, #108, 4th Main, 3rd Cross, Arekere Mico Layout 2nd Stage, Arekere, Bengaluru, Karnataka 560076",Fast Food,License No. 21219192002123
Green Cravings,Arekere,Closed,3.3,"Green Cravings, Freshmenu #23/24, Ground floor,  2nd Cross, Arkere main road, Bannerghatta road, Bangalore 560076.","Healthy Food,Continental,Keto,Indian,Salads",License No. 11217334000966
MEALFUL - Meals in a WRAP,Arekere,-- MINS,--,"MEALFUL - Meals in a WRAP, Shop No. 5, Shbari Complex, Arakere Mico Layout main Road, Govinda Reddy Layout, Off B G Road","Fast Food,North Indian,Desserts,Snacks,Indian",License No. 11218334001371
Chaatimes,Arekere,-- MINS,4.0,"Chaatimes, No.3 Ground Floor SR Compound South City Road Bannerghatta Road Bangalore 76",Fast Food,License No. 11219334002587
Joy of Biryani,Arekere,-- MINS,4.2,"Joy of Biryani, No. 23/1,Bannerghatta Road, Arekere Village, Begur Hobli, Bangalore",Biryani,License No. 11219334002512
Amul Ice Cream Parlour (DLF Main Road),Arekere,Closed,4.5,"Amul Ice Cream Parlour (DLF Main Road), Property No. 3, Shop No.2, Next to Canara Bank, Opp. Little Elly School, Akshaya Nagar, DLF Main Road, Yelanhalli, Bengaluru-560068","Desserts,Ice Cream,Beverages",License No. 21219010001281
Sri Dhivyam Ventures,Arekere,Closed,--,"Sri Dhivyam Ventures, 345 ,Raja Iris Layout,Begur Koppa Road,Bangalore,560068","North Indian,South Indian,Chinese,Fast Food",License No. 11218334001947
Momo Express,Arekere,Closed,--,"Momo Express, Vishweswaraiah Road, BTM 6th Stage, BTM, Bangalore 	436522",Chinese,Applied for license
Chavadi,Arekere,Closed,3.5,"Chavadi, #4, Arama Suites, Behind HSBC, Off Bannergatta Road, Bangalore 560076",Cafe,License No. 11218334002054
David kitchen,Arekere,Closed,--,"David kitchen, 42/34, 6th Cross, NarasimhaReddy layout,  Garvebhavipalya Micro layout, Garvebhavi Palya,  Bengaluru, Karnataka 560068","South Indian,North Indian",License No. 21219194000369
Food Love,Arekere,Closed,--,"Food Love, A104, Divya Jyothi Royal County Apartments Aishwarya Crystal layout, Singsandra Bengaluru 560068",Fast Food,License No. 21219010000901
Yumlane Ice Creams & Desserts,Arekere,-- MINS,--,"Yumlane Ice Creams & Desserts, shop at lopapasha, hongasandra,begur road, bengaluru","Fast Food,Pizzas",Applied for license
MOMS KHICHDI,Arekere,Closed,--,"MOMS KHICHDI, # 35/4 , 24 Th Main , JP Nagar 7 th Phase , Puttenahalli , Bengaluru - 560078",Indian,License No. 11220334000428
Cravings,Arekere,-- MINS,3.8,"Cravings, Doddakammanahalli Main Rd, Central Excise Layout, Phase 2, Tejaswini Nagar, Bengaluru, Karnataka 560076, India","North Indian,Chinese,Chaat",License No. 21219192000075
Khana Khazana Thali Restaurant,Arekere,Closed,--,"Khana Khazana Thali Restaurant, NO.202,LAKSHMI LAYOUT,6TH CROSS,BEHIND AREKERE MICO LAYOUT,BG ROAD,BANGALORE,BOMMANAHALLI,B.B.M.P SOUTH (KARNATAKA),-560076",Indian,License No. 21218192001349
North Indian Home Kitchen,Arekere,Closed,--,"North Indian Home Kitchen, 402 vandhana Homes singhsandra Manipal county road Bangalore , Bangalore South, Bangalore Urban, Karnataka",North Indian,License No. 21219010003264
Hind Ka Chulha,Arekere,Closed,3.8,"Hind Ka Chulha, Aharam Food Court Royal Meenakshi Mall Hulimavu Bannerghata Main Road","North Indian,Mughlai,Tandoor,Biryani,Punjabi,Combo",License No. 21219192000247
THAKUR FOODS,Arekere,Closed,--,"THAKUR FOODS, 24, 1st Cross, Opp Kalyani Kala Mandi, Bilekahalli, Bannerghatta road, , District - Bangalore Urban, STATE - Karnataka 560076","Indian,Combo",License No. 21220009000037
Brahmin Homely Food,Arekere,Closed,3.8,"Brahmin Homely Food, 53/3Q Ground floor,22nd cross Someshwara layout , Hulimavu Bannerghatta Bangalore 560076",South Indian,Applied for license
S K KITCHEN,Arekere,-- MINS,--,"S K KITCHEN, NO.1, TOWER BUILDING, OPP KRISHNA REDDY HOUSE, GOVT HOSPITAL TO RTO ROAD, BTS LAYOUT, AREKERE, BANNE, District - B.B.M.P South, STATE - Karnataka 560076",Indian,License No. 21220192000335
Crown Restaurant,Arekere,-- MINS,3.9,"Crown Restaurant, Arekere Main Road, Bannerghatta Road, Bangalore","Indian,Chinese",License No. 21220010000233
